,Name,High hold,Attempts,Ranks,Points,High hold,Attempts,Ranks,Points,High hold,Attempts,Rank,Points,High hold,Attempts,Rank,Points,Tops,Points
1,Nathaniel,14,1,1,3.5,10,1,1,2.5,10,1,1,1,12,1,1,1,3,1.72
2,Kai Lightner,14,1,1,3.5,10,1,1,2.5,8,1,3,3,6,1,6,7.5,2,3.75
3,Mohommad,14,1,1,3.5,10,1,1,2.5,8,2,4,6,6,1,6,7.5,2,4.45
4,Tyler Landman,14,2,7,8.5,10,1,1,2.5,8,2,4,6,6,4,11,11.5,2,6.19
5,Daniel Woods,14,2,7,8.5,10,3,9,9.5,8,2,4,6,4,1,14,17.5,2,9.6
6,Carlo Traversi,14,4,13,13.5,10,2,5,6.5,8,2,4,6,4,1,14,17.5,2,9.8
7,Jimmy Webb,14,2,7,8.5,10,2,5,6.5,8,4,10,10.5,4,1,14,17.5,2,10.04
8,Andy Lamb,14,4,13,13.5,10,3,9,9.5,5,2,16,16,6,1,6,7.5,2,11.14
9,Shawn Raboutou,14,1,1,3.5,5,2,21,21,9,1,2,2,10,3,3,3,1,4.58
10,Nicholas Milburn,14,1,1,3.5,8,1,11,13,8,4,10,10.5,10,1,2,2,1,5.56
11,Will Anglin,14,1,1,3.5,6,1,18,18,8,3,9,9,4,1,14,17.5,1,9.98
12,Dalt,14,3,11,11.5,8,1,11,13,5,6,17,17,9,4,5,5,1,10.62
13,Austin Geiman,10,3,20,20,10,2,5,6.5,7,3,13,13,6,4,11,11.5,1,11.81
14,Vasya,14,5,15,15,8,4,17,17,7,4,14,14.5,6,1,6,7.5,1,12.9
15,Charles Barron,12,3,18,18,10,2,5,6.5,7,4,14,14.5,4,1,14,17.5,1,13.13
16,Palmer,14,2,7,8.5,8,1,11,13,4,1,18,18,4,1,14,17.5,1,13.66
17,Ben Hanna,14,3,11,11.5,5,1,19,19.5,7,1,12,12,5,4,13,13,1,13.68
18,Michael O'Rourke,9,2,21,21,5,1,19,19.5,8,2,4,6,10,4,4,4,0,9.96
19,Josh Larson,12,2,16,16.5,8,2,16,16,2,2,21,21,6,3,10,10,0,15.34
20,Martin Kuhnel,12,2,16,16.5,8,1,11,13,4,3,19,19,4,1,14,17.5,0,16.34
21,Austin Purdy,10,1,19,19,8,1,11,13,4,5,20,20,4,1,14,17.5,0,17.15