Analysis of Ranking Methods,,,,,,,,,,,,,
,ABS10,Borda,Borda NT,Geo Mean,Geo Mean NT,Lin. Prog.,Merged,Top Score,USAC,USAC NT,W. Integer,W. NT,W. Optimal
ABS10,NA,0,-1,2,0,3,1,0,2,0,3,2,3
Borda,0,NA,-2,0,-1,3,0,0,1,0,2,1,2
Borda NT,1,2,NA,3,0,3,3,3,3,1,3,3,3
Geo Mean,-2,0,-3,NA,-3,3,0,0,0,-2,0,0,0
Geo Mean NT,0,1,0,3,NA,3,2,2,3,0,3,3,3
Lin. Prog.,-3,-3,-3,-3,-3,NA,-3,-3,-2,-3,-1,-2,0
Merged,-1,0,-3,0,-2,3,NA,0,0,-1,0,0,1
Top Score,0,0,-3,0,-2,3,0,NA,0,0,1,0,2
USAC,-2,-1,-3,0,-3,2,0,0,NA,-2,0,0,0
USAC NT,0,0,-1,2,0,3,1,0,2,NA,3,3,3
W. Integer,-3,-2,-3,0,-3,1,0,-1,0,-3,NA,0,0
W. NT,-2,-1,-3,0,-3,2,0,0,0,-3,0,NA,0
W. Optimal,-3,-2,-3,0,-3,0,-1,-2,0,-3,0,0,NA